Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
MacBook Air,YouTube,@Sabri_Cimen,"MacbookAir 13 M2 islemcili cihazimda third party guclu bir adaptor ve yuksek amper gecirebilen bir type-C kablo ile sarj olabiliyor. Su an ozellikle deniyorum ve sorun yok. Bence bir de oyle dene. Apple bile ""olmaz"" demiyor.",1,2025-04-19T16:45:32Z,macbookair islemcili cihazimda third party guclu adaptor yuksek amper gecirebilen typec kablo sarj olabiliyor ozellikle deniyorum sor bence oyle dene apple bile olmaz demiyor,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_64001,@Webtekno s23den 6bin kadar pahalı. deger mı bu farka,22,2024-07-27T12:56:21Z,webtekno sden bin pahalı deger farka,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@turkuazhukuk3951,bu kadar malzemeyi kutuya sığdırma başarısı :) güzel bir gözlem,1,2024-03-01T22:07:30Z,malzemeyi kutuya sığdırma başarısı güzel gözlem,1.0,Olumlu,1
Samsung S24,YouTube,@Qəmlo-u1k,Abi ben S23 yeni aldım şarjdayken telefon ısınıyor şarj aleti de normal mi ?  Bataryası cok hızlı tükeniyor zamanla düzelir mi ?,0,2024-07-14T18:28:51Z,abi yeni aldım şarjdayken telefon ısınıyor şarj aleti normal bataryası cok hızlı tükeniyor zamanla düzelir,1.0,Olumlu,1
Samsung S24,YouTube,@ufuksahbaz5533,Şarjı asla dayanmıyor oyun oynadığım halde çok ısınıyor xiomi note 10 dan geçiş yapan biri olarak xiomi çok daha iyi bence çok küçük bir telefon aynı zamanda bence geniş ekran daha güzel,1,2024-10-16T15:50:59Z,şarjı asla dayanmıyor oyun oynadığım halde ısınıyor xio note dan geçiş yapan biri olarak xio iyi bence küçük telefon aynı zamanda bence geniş ekran güzel,1.0,Olumlu,1
Dyson Supurge,YouTube,@mr.hakanbey,Çöp,0,2024-04-16T03:29:48Z,çöp,-1.0,Olumsuz,0
AirPods Pro,YouTube,@batur535,yemin ederim fuzuli bilgiler hiç fuzili değil mükemmel detay,0,2020-04-01T18:00:16Z,yemin eder fuzuli bilgi hiç fuzili değil mükemmel detay,1.0,Olumlu,1
Samsung S24,YouTube,@hamzayesilyurt3452,Şuanda s24den izliyorum videoyu çok güzel bir cihaz bütçeniz el veriyorsa iPhone düz modelleri almak yerine s serisi tercih edin çok performanslı cihaz,81,2024-07-13T17:23:52Z,şuanda sden izliyorum videoyu güzel cihaz bütçeniz veriyorsa iphone düz modelleri almak yerine serisi tercih edin performanslı cihaz,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_86837,@TeknoMarket Çok güzel anlatım,27,2024-10-29T04:08:21Z,teknomarket güzel anlatım,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_57848, Emeğinize sağlık bir iki ekleme yapmak istiyorum / önceki versiyona göre telefon görüşmesinde karşı tarafa giden ses daha başarılı /  müzik vs de daha kaliteli ses alabildiğimiz kesin ancak yaşadığım sorun iphone ile geç bağlanma hızı / kulak ucu uygunluk testlerinde ( her 3 t...,56,2020-01-25T17:02:22Z,emeğinize sağlık iki ekleme yapmak istiyorum önceki versiyona göre telefon görüşmesinde karşı tarafa giden ses başarılı müzik kaliteli ses alabildiğimiz kesin yaşadığım sor iphone geç bağlanma hızı kulak ucu uygunluk testlerinde her,0.3333333333333333,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_7835,🤔 Bütçesi olan alabilir. Gerçekten çok iyi temizliyor. Evde kedi besleyenler için 4x4 lük. Her gün ... #fiyatperformans,13,2024-05-15T20:11:45Z,bütçesi olan alabilir gerçekten iyi temizliyor evde kedi besleyen lük her gün fiyatperformans,1.0,Olumlu,1
AirPods Pro,YouTube,@ahmetay6985,YouTuberların çoğunun problemi taraf tutar gibi firma desteklemesi kimi Samsung’u kimi ise Apple’ı destekliyor ürünü ya çok iyi gösteriyorlar ya da çok kötü insan almakla almamak arasında kalıyor ve saçma bir tercih yapıyor ama Alp Bey çok güzel anlatmış artılarını eksilerini çok beğendim elinize sağlık.,0,2020-12-31T10:24:21Z,youtuberların çoğun proble taraf tutar firma desteklemesi kimi samsungu kimi ise appleı destekliyor ürünü iyi gösteriyor kötü insan almakla almamak arasında kalıyor saçma tercih yapıyor alp bey güzel anlatmış artılarını eksilerini beğend elinize sağlık,0.5,Olumlu,1
AirPods Pro,YouTube,@zeynepbozac7071,Airpods proya o parayı vereceğine sa!sung galaxy buds+ alırım bence daha iyi,3,2020-05-08T09:10:31Z,airpods proya parayı vereceğine sasung galaxy buds alırım bence iyi,1.0,Olumlu,1
iPhone 15,YouTube,@matematikveyasam2702,Çok güzel akıcı ve bilgilendirici bir anlatım. İlk defa bir telefon incelemesi videosu izlediğimi belirtmek isterim,1,2024-04-09T07:15:35Z,güzel akıcı bilgilendirici anlatım ilk defa telefon incelemesi videosu izlediği belirtmek ister,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_15292, Anlatım tarzı çok ilginç. Mesela veri aktarım hızı 20 kat arttı demek varken düz 15 serisi 20 kat daha yavaş diyor. Kötülemek için her şeyi yapmış resmen. Ama hala en iyisi iPhone..,1,2023-10-07T15:55:34Z,anlatım tarzı ilginç mesela veri aktarım hızı kat arttı demek varken düz serisi kat yavaş diyor kötülemek her şeyi yapmış resmen hala iyisi iphone,-1.0,Olumsuz,0
Samsung S24,YouTube,@ertugrulolmaz2000,"S24 plus kullanıyorum 
Cam ekran koruyucu kullanıyorsanız parmak izi çalışmıyor . Çalışması için ince cam film kullanmanız lazım.
Ön kamerası fiyatına göre kötü. Arka kamerası güzel .
Şarjı güzel gidiyor sizi üzmez bataryası 5000 yakın değer veriyor
Telefonun şarj etme performansı güzel ama hassas sarj işlemi sırası da ısınırsa sarj yavaşlıyor. 
Telefon güvenlik güncellemeleri geciktirmeden hemen aliyor. Genel anlamda fiyatı olarak beni tatmin etti almayı düşünenler şimdiden hayırlı olsun",11,2024-07-13T17:09:19Z,plus kullanıyorum cam ekran koruyucu kullanıyorsanız parmak izi çalışmıyor çalışması ince cam film kullanmanız lazım kamerası fiyatına göre kötü arka kamerası güzel şarjı güzel gidiyor sizi üzmez bataryası yakın değer veriyor telefon şarj etme performansı güzel hassas sarj işle sırası ısınırsa sarj yavaşlıyor telefon güvenlik güncellemeleri geciktirme hemen aliyor genel anlamda fiyatı olarak beni tatmin etti almayı düşünen şimdi hayırlı ols,0.5,Olumlu,1
iPhone 15,YouTube,@ufukkahraman84,yakından inceleme fırsatım oldu maket telefon gibi olmuş kalite düşmüş gibi çok beğenmedim,1,2023-11-10T11:21:11Z,yakın inceleme fırsatım oldu maket telefon olmuş kalite düşmüş beğenmed,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_86681," S24 plus kullanıyorum 
Cam ekran koruyucu kullanıyorsanız parmak izi çalışmıyor . Çalışması için ince cam film kullanmanız lazım.
Ön kamerası fiyatına göre kötü. Arka kamerası güzel .
Şarjı güzel gidiyor sizi üzmez bataryası 5000 yakın değer veriyor
Telefonun şarj etme perform...",58,2024-07-13T17:09:19Z,plus kullanıyorum cam ekran koruyucu kullanıyorsanız parmak izi çalışmıyor çalışması ince cam film kullanmanız lazım kamerası fiyatına göre kötü arka kamerası güzel şarjı güzel gidiyor sizi üzmez bataryası yakın değer veriyor telefon şarj etme perform,0.3333333333333333,Olumlu,1
iPhone 15,Twitter (Simulated),@user_37504," Apple 60hz inadina devam etsin , düz seriler o yuzden satilmiyor. Bende 15 pro max var , anneme 15 alayim dedim 60hz yuzunden almadim git 13 pro max al daha iyi",57,2024-02-25T04:51:42Z,apple inadina devam etsin düz seri yuz satilmiyor bende pro max anneme alay ded yuzun almad git pro max iyi,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_70641, İphone 15 kamerası şuan düzlerden alınabilecek en iyi seçenek mi,64,2024-04-06T12:58:04Z,iphone kamerası şuan düzler alınabilecek iyi seçenek,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_6488,❤️ Hocam 13 pro mu 15 düz mü hangisini almamı tavsiye edersiniz #inceleme,31,2025-07-27T20:03:02Z,hocam pro düz hangisini alma tavsiye eder inceleme,1.0,Olumlu,1
iPhone 15,YouTube,@ikra723,Anlatımınız için teşekkür ederim. Ben 15 almak istiyorum. Günlük kullanımda kaç yıl kullanabilirim?,2,2024-06-01T20:30:42Z,anlatımınız teşekkür eder almak istiyorum günlük kullanımda kaç yıl kullanabilir,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_6766,"🤔 Daha önce V15 kullandim, gecrekten Kablolu süpürgeleri cöpe atmak gerekiyor. Dyson Harika #alisveris",220,2024-02-23T10:23:32Z,önce kulland gecrekten kablolu süpürgeleri cöpe atmak gerekiyor dyson harika alisveris,1.0,Olumlu,1
Dyson Supurge,YouTube,@alpertosun3497,2 hafta önce 17000 e 9 taksit V11 Total Clean aldım. Çok memnunum bu kadar para veremeyecekler için v11 i şifdetle tavsiye ederim.,1,2024-01-07T20:02:47Z,hafta önce taksit total clean aldım memnunum para veremeyecek şifdetle tavsiye eder,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_4308,❤️ Alp Bey yine çok güzel bir video hazırlamış. Bize de keyifle izlemek kaldı. Teşekkürler... #unboxing,471,2020-01-26T18:17:34Z,alp bey güzel video hazırlamış bize keyifle izlemek kaldı teşekkür unboxing,1.0,Olumlu,1
Samsung S24,YouTube,@Nuridemirbilekkk,"Güzel telefon, alınır mı alınır. Kompakt bir amiral gemisi cihaz. Ancak S25 beklenir bence... 2025 yılının ocak ayında tanıtılması bekleniyor. Eminim ki s25'te batarya konusu kökten çözülür. 4500 mAh'ı görür. Haa fiyat min 40 binden başlar o ayrı. Eğer 45 binleri falan bulursa o paraya da hiç tereddüt etmeden Xiaomi 14 alınır, arkaya yaslanılır. Xiaomi 14, kralı gelsin tokatlar. İnanılmaz bir cihaz ina na nıl maz. İphone seviciler İphone taptıkları için Androide hep önyargıyla bakıyor, zaten İphone'u kullananlar kendini zengin hissetmek için kullanıyor. Yoksa bir telefona 70-100 bin lira verilmez. Çoğunun amacı hava atmak",1,2024-10-08T13:37:44Z,güzel telefon alınır alınır kompakt amiral gemisi cihaz beklenir bence yılı ocak ayında tanıtılması bekleniyor emin ste batarya konusu kökten çözülür mahı görür haa fiyat min bin baş ayrı eğer binleri falan bulursa paraya hiç tereddüt etme xiao alınır arkaya yaslanılır xiao kralı gel tokat inanılmaz cihaz ina nıl maz iphone sevici iphone taptıkları androide hep önyargıyla bakıyor zaten iphoneu kullanan kendini zengin hissetmek kullanıyor yoksa telefona bin lira verilmez çoğun amacı hava atmak,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_53480, yemin ederim fuzuli bilgiler hiç fuzili değil mükemmel detay,69,2020-04-01T18:00:16Z,yemin eder fuzuli bilgi hiç fuzili değil mükemmel detay,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_88943,@SamsungTurkiye Merhaba İphone 15 lerde ısınma sorunu devam ediyor mu?,83,2024-05-06T13:46:20Z,samsungturkiye merhaba iphone lerde ısınma sorunu devam ediyor,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@ysfurl,dyson süpürge almayı düşünüyorduk tam zamanında geldi video emeğine sağlık Merdan teşekkür ederiz ailecek .  😄🤌,2,2024-01-05T16:35:45Z,dyson süpürge almayı düşünüyorduk tam zamanında geldi video emeğine sağlık mer teşekkür ederiz ailecek,1.0,Olumlu,1
iPhone 15,YouTube,@rojgiravnardan5586,Selamlar enes abi.Tıp öğrencisiyim ve tablet almak istiyorum.Ipad 9.Nesil ve 10.Nesil arasında kaldım.Aradaki fiyat farkına değer mi ?Sence hangisi daha mantıklı?Şimdiden teşekkür ederim,1,2023-10-05T16:55:43Z,selam enes abitıp öğrencisiy tablet almak istiyorumipad nesil nesil arasında kaldımaradaki fiyat farkına değer sence hangisi mantıklışimdi teşekkür eder,1.0,Olumlu,1
AirPods Pro,YouTube,@bartuozorman962,Samsungda kulanisi kaliteli etmek icin onerdiginiz bir uygulama varmi?,1,2020-11-18T16:11:48Z,samsungda kulanisi kaliteli etmek icin onerdiginiz uygulama var,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_64981,"@TeknoMarket Çok ısınıyorrrrr.... s 23  DAHA İYİ ,.. NET 👍👍",46,2024-07-13T20:47:09Z,teknomarket ısınıyorrrrr iyi net,1.0,Olumlu,1
AirPods Pro,YouTube,@ayvazdiler7231,Çok güzel anlatım,0,2024-10-29T04:08:21Z,güzel anlatım,1.0,Olumlu,1
Samsung S24,YouTube,@tarikcan9470,süper,0,2024-12-17T13:53:40Z,süper,1.0,Olumlu,1
iPhone 15,YouTube,@unexpected4820,Selam androidden applea gecicem 15 almayi dusundum ve arastirmalarim sonucu kamerayla ilgili sorunlar oldugunu gordum acikcasi cok kararsiz kaldim sorun yasar miyim vs su zamanda almak mantikli mi,1,2025-05-09T18:52:05Z,selam android applea gecicem almayi dusundum arastirmalar sonucu kamerayla ilgili sorun oldugunu gordum acikcasi cok kararsiz kald sor yasar miy zamanda almak mantikli,-1.0,Olumsuz,0
Samsung S24,Instagram (Simulated),insta_user_7051,🙌 Kompakt telefonlar kıyaslaması güzel olur #teknoloji,313,2024-07-13T19:46:55Z,kompakt telefon kıyaslaması güzel olur teknoloji,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_60788, tabi ki almaya değer. ben söylemiş olayım. mükemmel bir kulaklık. öğrenci indirimiyle alabilmiştim orası ayrı,76,2020-12-20T12:13:09Z,tabi almaya değer söylemiş olayım mükemmel kulaklık öğrenci indirimiyle alabilmişt orası ayrı,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_8052,🔥 Ben de yeni aldım gerçekten çekim gücü harika. Özellikle halı başlığı halıları yıkanmış gibi yapı... #fiyatperformans,47,2025-02-23T18:20:40Z,yeni aldım gerçekten çek gücü harika özellikle halı başlığı halıları yıkanmış yapı fiyatperformans,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_7130,😡 Dyson detect total claen ile arasında fark yok fakat bu model daha pahalı neden acaba #inceleme,305,2024-12-30T21:38:29Z,dyson detect total claen arasında fark model pahalı neden acaba inceleme,-1.0,Olumsuz,0
Samsung S24,YouTube,@EgeCinar16,Boyut sorun değilse S23 ultra daha mantıklı değil mi?,1,2024-07-13T19:24:58Z,boyut sor değilse ultra mantıklı değil,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@cihatdemir9532,"Daha önce V15 kullandim, gecrekten Kablolu süpürgeleri cöpe atmak gerekiyor. Dyson Harika",1,2024-02-23T10:23:32Z,önce kulland gecrekten kablolu süpürgeleri cöpe atmak gerekiyor dyson harika,1.0,Olumlu,1
AirPods Pro,YouTube,@ramazankonuk15,Samsung s10+ plus cihazımla uyumlu şekilde çalışır mı? Tavsiye eder misin abi yoksa samsung buds+ mı almalıyım?,0,2020-03-06T04:54:33Z,samsung plus cihazımla uyumlu şekilde çalışır tavsiye eder misin abi yoksa samsung buds almalıyım,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_7624,👏 Gerçekten çok başarılı inceleme. Her zamanki gibi objektif cidden umarım böyle devam edersiniz. B... #inceleme,446,2020-01-25T23:05:23Z,gerçekten başarılı inceleme her zamanki objektif cid umarım devam eder inceleme,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_1760,🤔 abi ne güzel takır takır anlatmışsın helal olsun #alisveris,284,2023-10-06T09:09:31Z,abi güzel takır takır anlatmışsın helal ols alisveris,1.0,Olumlu,1
AirPods Pro,YouTube,@izzetozer3042,Koronadan dolayı dışarıdan gelince bunları ıslak mendil ile silsek sorun olur mu?,0,2020-03-26T23:08:09Z,korona dolayı dışarı gelince bunları ıslak mendil silsek sor olur,-1.0,Olumsuz,0
AirPods Pro,YouTube,@mervettn,"Şu an airpods pro ile dinliyorum,internetteki yorumlara bakarak almaktan vaz geçmek üzereydim.İyiki almışım diyorum şeffaf mod ve gürültü engelleme gerçekten çok işe yarıyor,iyi değil diyenlere şaşıyorum.Tek sıkıntık slikon başlıklar yatarken kulağımdan arada düşüyor.İki kulaklik aradinda kaldiysaniz bunu almanizi tavsiye ederim:)",0,2020-06-16T16:47:26Z,airpods pro dinliyoruminternetteki yorumlara bakarak almaktan vaz geçmek üzereydimiyiki almışım diyorum şeffaf mod gürültü engelleme gerçekten işe yarıyoriyi değil diyenlere şaşıyorumtek sıkıntık slikon başlık yatarken kulağım arada düşüyoriki kulaklik aradinda kaldiysaniz bunu almanizi tavsiye eder,1.0,Olumlu,1
iPhone 15,YouTube,@blntkrmnss5193,"valla bu fiyatlara alınabilecek telefonlar değil iphone modelleri.. Yurtdışındaki gibi, alım gücümüz yüksek olsa ve fiyatlar ÖTV'siz olsa o zaman bende ne olursa olsun iphone kaltesi tartışılmaz alırdım.. Ama yıllardır android kullanıcısı olarak şu an samsung s21 kullanıyorum 2 yıldır gayet akıcı, takılmayan donmayan çok güzel fotoğraflar çeken bir telefonum var.. şarjıda bir günü rahat çıkarıyor. sadece oyun oynadığınızda pil hızlı tükeniyor.. Bence gayet yeterli.. biri 20 bin tl diğeri sırf apple logosu var diye 50 bin tl. Ben şahsen parayı sokaktan toplamıyorum... Vazgeçilmez değil bence iphone.. bu fiyatlar böyle gittikçede iphone'dan vazgeçenler çoğalacak... En azından türkiye için..",10,2023-11-11T10:17:33Z,valla fiyatlara alınabilecek telefon değil iphone modelleri yurtdışındaki alım gücümüz yüksek olsa fiyat ötvsiz olsa zaman bende olursa ols iphone kaltesi tartışılmaz alırdım yıllardır android kullanıcısı olarak samsung kullanıyorum yıldır gayet akıcı takılmayan donmayan güzel fotoğraf çeken telefonum şarjıda günü rahat çıkarıyor sadece oyun oynadığınızda pil hızlı tükeniyor bence gayet yeterli biri bin diğeri sırf apple logosu bin şahsen parayı sokaktan toplamıyorum vazgeçilmez değil bence iphone fiyat gittikçede iphone vazgeçen çoğalacak azın türkiye,1.0,Olumlu,1
Dyson Supurge,YouTube,@mesuttkgz3075,"Kötü haber, artık 27000 TL değil.",0,2024-02-05T18:01:41Z,kötü haber artık değil,-1.0,Olumsuz,0
AirPods Pro,YouTube,@emiralpagut9258,"Merhaba ben AirPods 2 .nesil aldım AirPods pro arasında kararsız kalmıştım silikon lu kulaklık takmayı sevmediğim için sizce doğru mu yaptım arasında çok fark varmı ? 
çok güzel bir video olmuş bu arada elinize sağlık",0,2020-01-25T20:23:49Z,merhaba airpods nesil aldım airpods pro arasında kararsız kalmıştım silikon kulaklık takmayı sevmediğ sizce doğru yaptım arasında fark var güzel video olmuş arada elinize sağlık,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_19837,"@AppleDestek Sennheiser Momentum True Wireless 1 senedir kullanan biri olarak, ses kalitesi harika, kötü kısmı ise kutusu kendi kendine durduk yere şarj yemesi ve bitmesi onun dışında süper bir kulaklık.Airpods Pro test etme şansım oldu, Sennheiser açık ara fark atıyor şarjı ise 4 saat rah...",15,2020-01-28T06:38:46Z,appledestek sennheiser momentum true wireless senedir kullanan biri olarak ses kalitesi harika kötü kıs ise kutusu kendi kendine durduk yere şarj yemesi bitmesi onun dışında süper kulaklıkairpods pro test etme şansım oldu sennheiser açık ara fark atıyor şarjı ise saat rah,0.3333333333333333,Olumlu,1
AirPods Pro,YouTube,@selmansoylu8222,Helal güzel olmuş emek bu kısa ve öz oyanlanmıyor adam,0,2021-10-01T21:55:50Z,helal güzel olmuş emek kısa oyanlanmıyor adam,1.0,Olumlu,1
AirPods Pro,YouTube,@Firuz-25,Abi çok İyi Anladyosun Ağzina Sağlik Saolasin,0,2021-11-03T16:48:45Z,abi iyi anladyos ağzina sağlik saola,1.0,Olumlu,1
AirPods Pro,YouTube,@pendikfityasam,Huawei i5 kullanırken ses seviyesini kulaklıkla kaydırarak kontrol edebiliyordum. kaybettiğim için air pods pro aldım sanırım bu özellik büyük kayıp olduğunu farkettim gereksiz para vermişim  air pods satıp  i5 alacağım yine.,1,2024-05-11T19:21:22Z,huawei kullanırken ses seviyesini kulaklıkla kaydırarak kontrol edebiliyordum kaybettiğ air pods pro aldım sanırım özellik büyük kayıp olduğunu farkett gereksiz para vermiş air pods satıp alacağım,-1.0,Olumsuz,0
AirPods Pro,YouTube,@erdematil2996,"Öncelikle bu detaylı inceleme videosu için kendi adıma çok çok teşekkür ederim.
Yine harika bir inceleme, bir sürü emek ve objektif bir yorum.

Bu Üründen Beklentilerim; 
1- Konforlu bir telefon görüşmesi sağlayabilmesi. (Sanırım bu bir önceki nesilden çok daha farklı olmayacak.)
2- Ses kalitesinin iyileştirilmesi (""Audiophile"" olarak kendimi nitelendirmeme rağmen daha kaliteli bir ses arayışı.)
3- Uçak seyahatlerinde ""Aktif Ses Kesme"" özelliği önceliğim olmamasına rağmen + bir konfor sağlayacak olması.
4- Kablosuz şarj imkanı ile kullanım kolaylığı.
5- Önceki nesillere oranla kısaltılmış mikrofon kısmı ile daha az dikkat çekmesi.

Beni Tatmin Etmeyeceğini Düşündüğüm Yönler;
1- Telefon görüşmesi yaparken bulunduğum ortamın sesini karşı tarafa iletebilecek olması.
2- Bu fiyat ile alınan bir kulaklığın orta vadede pil ömrünü tamamlayabileceği ve sadece pil değişim imkanı tanımaması.
3- Kulak içi kulaklık modelleri kadar rahatsız edici olmadığı söylense bile, eski nesilleri gibi standart formda olmaması.
4- Muadil kulaklıklara göre yüksek fiyat politikası.

Sonuç olarak, önceki nesil Airpods kullanıyor olsaydım, asla yenisini almayı düşünmezdim. İlk defa kullanacak olduğum için güncel versiyonunu tercih ettim.",4,2020-01-26T03:00:48Z,öncelikle detaylı inceleme videosu kendi adıma teşekkür eder harika inceleme sürü emek objektif yorum ürün beklentiler konforlu telefon görüşmesi sağlayabilmesi sanırım önceki nesil farklı olmayacak ses kalitesi iyileştirilmesi audiophile olarak kendi nitelendirmeme rağmen kaliteli ses arayışı uçak seyahatlerinde aktif ses kesme özelliği önceliğ olmamasına rağmen konfor sağlayacak olması kablosuz şarj imkanı kullanım kolaylığı önceki nesillere oranla kısaltılmış mikrofon kıs dikkat çekmesi beni tatmin etmeyeceğini düşündüğüm yön telefon görüşmesi yaparken bulunduğum ortamın sesini karşı tarafa iletebilecek olması fiyat alınan kulaklığın orta vadede pil ömrünü tamamlayabileceği sadece pil değiş imkanı tanımaması kulak içi kulaklık modelleri rahatsız edici olmadığı söylense bile eski nesilleri standart formda olmaması muadil kulaklıklara göre yüksek fiyat politikası sonuç olarak önceki nesil airpods kullanıyor olsaydım asla yenisini almayı düşünmezd ilk defa kullanacak olduğum güncel versiyonunu tercih ett,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_5528,😍 7-8 ay sonra 15 almayı düşünüyorum normal kullanıcıyım arada oyun oynarım 15 pro daha iyi tabi am... #unboxing,418,2024-11-24T15:15:23Z,sonra almayı düşünüyorum normal kullanıcıyım arada oyun oynarım pro iyi tabi unboxing,1.0,Olumlu,1
Samsung S24,YouTube,@sifir7on,"*Ozan A55 , S23FE , Poco x6 Pro arasında kaldım telefon almam gerek noktayı koyarsan bana şahane bir desteğin olmuş olur bro*",1,2024-07-13T17:09:34Z,ozan sfe poco pro arasında kaldım telefon almam gerek noktayı koyarsan şahane desteğin olmuş olur bro,1.0,Olumlu,1
AirPods Pro,YouTube,@uzeyircanmutlu,Abi telefonuma birşey oldu çok aşırı hızlı çalışmaya başladı ve bu yüzden pil sağlığı düştü. neden olmuştur,0,2020-01-27T06:33:32Z,abi telefonuma birşey oldu aşırı hızlı çalışmaya başladı yüz pil sağlığı düştü neden olmuştur,1.0,Olumlu,1
AirPods Pro,YouTube,@bigsmoke8492,"Sakin ve güzel üslubu ve iyi diksiyonu ile tıpkı iphonedo gibi ""kaliteli"" teknoloji incelemesi yapan sayılı kanallarsınız.Global kanal açarsanız çok izleneceğinize eminim.",0,2020-01-25T21:52:15Z,sakin güzel üslubu iyi diksiyonu tıpkı iphonedo kaliteli teknoloji incelemesi yapan sayılı kanallarsınızglobal kanal açarsanız izleneceğinize emin,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_28205,"@TeknoMarket Galaxy S24 , 
Xiaomi 14T
İphone 13 
Arasında kaldim kamera ve video olarak hangisi en iyi",95,2025-02-02T12:18:26Z,teknomarket galaxy xiao iphone arasında kald kamera video olarak hangisi iyi,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_63518,@AppleDestek Hocam tesekkur ederim. Ben icon x kullandığım için hic bunu düşünmedim ama sesi ve hatta baslari iyi veren bir kablosuz kulaklık arıyorum. Bir çok yeri de inceledim ama tam bir karar veremedim. Sizin akg incelemenizi izledim defaten ama yine bir karar veremedim :)),25,2020-01-25T17:50:26Z,appledestek hocam tesekkur eder icon kullandığım hic bunu düşünmed sesi hatta baslari iyi veren kablosuz kulaklık arıyorum yeri inceled tam karar veremed sizin akg incelemenizi izled defaten karar veremed,1.0,Olumlu,1
iPhone 15,YouTube,@furkanizm1705,"Merhabalar 13, 14 plus ve 15 arasında kaldım hocam benim için kamera, video kalitesi çok çok önemli bu ürünlerden hangisini almam gerekli şarj da iyi gitmeli?",0,2024-03-06T18:57:34Z,merhaba plus arasında kaldım hocam ben kamera video kalitesi önemli ürünler hangisini almam gerekli şarj iyi gitmeli,1.0,Olumlu,1
Samsung S24,YouTube,@harunkorkmaz7908,Ozan kardesim redmi note 12 pro 5g 13 pro 5 g 13 pro plus 11 pro plus hepsini kullandim tekrar redmi note 10 proya geri dondum yemin ederim hic biri sarmadi beni bence redminin en iyi telefonu 10 produr halen ustune bence koyamadilar cikmadi daha onun gibisi,1,2024-07-13T16:59:18Z,ozan kardes red note pro pro pro plus pro plus hepsini kulland tekrar red note proya geri dondum yemin eder hic biri sarmadi beni bence redmi iyi telefonu produr halen ustune bence koyamadi cikmadi onun gibisi,1.0,Olumlu,1
AirPods Pro,YouTube,@enessozen457,Kalitenin bozulmadan devam etmesi mükemmel bir olay. Umarım hiç bozulmaz,23,2020-01-25T17:21:03Z,kalite bozulma devam etmesi mükemmel olay umarım hiç bozulmaz,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_8432,🔥 SİZ YAPARSANIZ İNCELEMEYİ MÜKEMMEL OLACAK KANIMCA #alisveris,354,2020-01-26T20:12:53Z,yaparsaniz incelemeyi mükemmel olacak kanimca alisveris,1.0,Olumlu,1
AirPods Pro,YouTube,@egeyagiz9913,teşekkür ediyorum,0,2021-03-07T13:41:18Z,teşekkür ediyorum,1.0,Olumlu,1
iPhone 15,YouTube,@enessevnc485,telefon 60 hx ama iphone animasyonuylan çok güzel bir görüntü elde edilebilir bence sizce?,1,2024-01-24T11:02:05Z,telefon iphone animasyonuylan güzel görüntü elde edilebilir bence sizce,1.0,Olumlu,1
Samsung S24,Instagram (Simulated),insta_user_7549,🔥 Telefonu bugün aldım ilk haftalarda ısınma ve sarj sorunu normalmi ayrıca ilk haftalarda telefonu... #inceleme,257,2024-09-09T21:31:07Z,telefonu bug aldım ilk haftalarda ısınma sarj sorunu normal ayrıca ilk haftalarda telefonu inceleme,-1.0,Olumsuz,0
iPhone 15,YouTube,@ikbalozdemir2569,Merhabalar sizce iphone 15 mi 16 mı? Yaklaşık 8-10 bin fark var teşekkür ederim şimdiden,0,2025-01-31T19:33:16Z,merhaba sizce iphone yaklaşık bin fark teşekkür eder şimdi,1.0,Olumlu,1
Dyson Supurge,YouTube,@Apolet1283,1 yıl sonra hala 28 bin lira ama yine de pahalı.. Teşekkürler,0,2025-11-28T08:56:44Z,yıl sonra hala bin lira pahalı teşekkür,-1.0,Olumsuz,0
